nCores;confId;dataSize;time
2;1x2;1;51.071
2;1x2;1;50.341
2;1x2;1;56.049
2;1x2;1;53.698
2;1x2;1;51.559
2;1x2;5;256.312
2;1x2;5;255.865
2;1x2;5;248.810
2;1x2;5;253.467
2;1x2;5;253.843
2;1x2;10;518.17
2;1x2;10;518.686
2;1x2;10;532.541
2;1x2;10;521.726
2;1x2;10;519.263
32;16x2;1;168.421
32;16x2;1;174.638
32;16x2;1;176.487
32;16x2;1;172.511
32;16x2;1;166.429
32;16x2;5;630.607
32;16x2;5;545.867
32;16x2;5;608.052
32;16x2;5;678.559
32;16x2;5;652.211
32;16x2;10;1027.028
32;16x2;10;994.353
32;16x2;10;1013.762
32;16x2;10;1029.986
32;16x2;10;1027.028
32;8x4;1;81.756
32;8x4;1;79.892
32;8x4;1;90.348
32;8x4;1;98.211
32;8x4;1;94.799
32;8x4;5;299.865
32;8x4;5;319.234
32;8x4;5;352.128
32;8x4;5;318.543
32;8x4;5;343.907
32;8x4;10;579.312
32;8x4;10;662.041
32;8x4;10;625.379
32;8x4;10;586.724
32;8x4;10;648.958
